"Promoter ID (Sharon et al., 2012)"	Promoter expression (log2)	GAL1_13h	GAL10_13h	GAL2_13h	GAL7_13h	GAL80_13h	GAL3_13h	GAL4_13h	MSN2_13h	GCN4_13h	CAT8_13h	PHD1_13h	HAP4_13h	ADR1_13h	SIP4_13h	USV1_13h	TUB4_13h	TOR1_13h	TOR2_13h	TOP2_13h	ADH2_13h	ADH5_13h	PCK1_13h	FBP1_13h	TPS1_13h	GSY1_13h	NRK1_13h	RAS2_13h	PGM2_13h	SEC53_13h	RAP1_13h	ABF1_13h	MIG1_13h	TUP1_13h	GCR1_13h	TUB1_13h	TUB2_13h	TUB3_13h	MLC1_13h	PRE2_13h	PRE10_13h	RPT2_13h	RPN8_13h	SPT4_13h	SPT15_13h	RPB5_13h	RPB10_13h	RPB2_13h	RPC40_13h	RET1_13h	TOP1_13h	SEC26_13h	SEC27_13h	HXT1_13h	HXT3_13h	HXT6_13h	HXK1_13h	PGI1_13h	PFK1_13h	PFK2_13h	ENO1_13h	PYC2_13h	TPS2_13h	UGP1_13h	FAS1_13h	SEC61_13h	SEC63_13h	TOM40_13h	TIM23_13h	TIM10_13h	CYR1_13h	ACT1_13h	RPL5_13h	RPS5_13h	RPP0_13h	RPL22A_13h	RPL3_13h	HXT7_13h	HXK2_13h	FBA1_13h	TDH3_13h	PGK1_13h	ENO2_13h	CDC19_13h	PDC1_13h	ADH1_13h	GAL1_23h	GAL10_23h	GAL2_23h	GAL7_23h	GAL80_23h	GAL3_23h	GAL4_23h	MSN2_23h	GCN4_23h	CAT8_23h	PHD1_23h	HAP4_23h	ADR1_23h	SIP4_23h	USV1_23h	TUB4_23h	TOR1_23h	TOR2_23h	TOP2_23h	ADH2_23h	ADH5_23h	PCK1_23h	FBP1_23h	TPS1_23h	GSY1_23h	NRK1_23h	RAS2_23h	PGM2_23h	SEC53_23h	RAP1_23h	ABF1_23h	MIG1_23h	TUP1_23h	GCR1_23h	TUB1_23h	TUB2_23h	TUB3_23h	MLC1_23h	PRE2_23h	PRE10_23h	RPT2_23h	RPN8_23h	SPT4_23h	SPT15_23h	RPB5_23h	RPB10_23h	RPB2_23h	RPC40_23h	RET1_23h	TOP1_23h	SEC26_23h	SEC27_23h	HXT1_23h	HXT3_23h	HXT6_23h	HXK1_23h	PGI1_23h	PFK1_23h	PFK2_23h	ENO1_23h	PYC2_23h	TPS2_23h	UGP1_23h	FAS1_23h	SEC61_23h	SEC63_23h	TOM40_23h	TIM23_23h	TIM10_23h	CYR1_23h	ACT1_23h	RPL5_23h	RPS5_23h	RPP0_23h	RPL22A_23h	RPL3_23h	HXT7_23h	HXK2_23h	FBA1_23h	TDH3_23h	PGK1_23h	ENO2_23h	CDC19_23h	PDC1_23h	ADH1_23h	GAL1_35h	GAL10_35h	GAL2_35h	GAL7_35h	GAL80_35h	GAL3_35h	GAL4_35h	MSN2_35h	GCN4_35h	CAT8_35h	PHD1_35h	HAP4_35h	ADR1_35h	SIP4_35h	USV1_35h	TUB4_35h	TOR1_35h	TOR2_35h	TOP2_35h	ADH2_35h	ADH5_35h	PCK1_35h	FBP1_35h	TPS1_35h	GSY1_35h	NRK1_35h	RAS2_35h	PGM2_35h	SEC53_35h	RAP1_35h	ABF1_35h	MIG1_35h	TUP1_35h	GCR1_35h	TUB1_35h	TUB2_35h	TUB3_35h	MLC1_35h	PRE2_35h	PRE10_35h	RPT2_35h	RPN8_35h	SPT4_35h	SPT15_35h	RPB5_35h	RPB10_35h	RPB2_35h	RPC40_35h	RET1_35h	TOP1_35h	SEC26_35h	SEC27_35h	HXT1_35h	HXT3_35h	HXT6_35h	HXK1_35h	PGI1_35h	PFK1_35h	PFK2_35h	ENO1_35h	PYC2_35h	TPS2_35h	UGP1_35h	FAS1_35h	SEC61_35h	SEC63_35h	TOM40_35h	TIM23_35h	TIM10_35h	CYR1_35h	ACT1_35h	RPL5_35h	RPS5_35h	RPP0_35h	RPL22A_35h	RPL3_35h	HXT7_35h	HXK2_35h	FBA1_35h	TDH3_35h	PGK1_35h	ENO2_35h	CDC19_35h	PDC1_35h	ADH1_35h
5712	0	772	1434	1365	713	1767	743	1004	482	725	1400	2144	901	3348	1142	961	152	1432	497	347	2011	2550	1904	339	7112	765	1326	1691	1185	203	159	115	1976	607	64	79	472	3132	259	452	63	258	450	4216	364	315	853	395	401	469	1090	302	87	1534	401	482	2009	314	327	73	28	1729	152	403	7449	81	267	152	540	365	401	455	67	491	279	540	310	2089	1658	433	959	149	690	684	245	52	1154	2465	2062	899	3179	1157	1807	634	435	2523	3540	1957	6042	2518	1631	51	2387	1021	289	3994	4680	2984	286	10664	1301	2174	1410	1548	720	19	29	3594	523	84	164	157	4560	24	57	18	638	66	5312	456	553	1232	34	116	655	2123	632	208	2691	780	1007	3746	102	341	49	28	3638	210	486	14970	10	293	12	83	585	225	30	0	419	499	693	63	4187	2024	38	1653	63	708	714	673	19	1129	2317	1683	764	2762	1126	1522	375	159	2932	3292	1556	5852	2389	1195	10	1804	848	231	3555	4509	2414	243	11125	1668	2603	724	1466	761	3	23	3807	415	26	109	105	4075	11	10	12	396	38	2828	399	563	1093	13	70	719	1755	585	280	1736	842	837	3068	3	135	5	20	2736	223	423	16292	5	244	13	19	585	165	7	0	479	355	354	8	3316	1206	16	1205	6	362	681	406	0
3	0.185673758	2668	2909	2820	2267	1664	1207	1705	855	1155	1613	2330	1773	2060	1419	1538	478	1231	438	482	3351	1369	5196	1118	4532	821	1679	2646	2063	133	238	215	483	1002	222	62	946	3000	2300	1385	196	67	1439	2188	711	13	2127	1253	1125	113	654	103	18	1855	799	644	1585	600	356	33	8297	1282	301	680	2183	316	757	361	1873	48	799	2675	144	1423	2325	595	756	572	460	1222	246	854	405	684	713	82	5941	5227	3933	2532	2717	2093	2125	586	269	2978	2856	4369	3294	2789	2682	68	1977	18	127	5778	2370	10078	1730	4807	2107	3412	1911	1582	7	15	2	872	152	32	104	53	3040	2705	65	29	9	91	531	122	16	3547	125	173	16	720	18	17	2867	727	1792	3355	312	522	35	16178	2689	323	123	3342	33	467	98	239	11	85	2007	2	1636	4656	210	43	687	430	65	348	1178	158	146	1148	5	4773	3715	3228	1896	1826	1583	1794	438	30	2802	2507	2743	3108	2220	2618	12	1140	14	7	4827	1789	8781	1415	4382	2265	2303	979	1251	8	5	10	895	14	16	36	5	2532	2087	17	12	13	10	152	9	19	2892	24	12	16	409	11	3	2073	799	1426	2930	37	429	5	14051	2039	77	13	2882	11	449	13	27	11	49	1756	0	1589	2996	34	7	554	263	12	66	556	46	7	655	0
3604	0.394808115	1588	1677	1654	2509	2615	960	809	1588	478	1983	3177	687	1069	2739	2593	190	1183	186	398	3666	3685	2616	2864	3247	791	805	3270	672	48	237	115	1682	734	921	100	380	1807	516	647	76	137	450	1449	181	438	869	516	481	268	1059	258	14	1011	1943	1557	1156	355	192	67	2447	1298	249	233	1666	134	624	130	1078	148	335	536	83	280	637	715	498	326	2711	541	1418	4983	426	736	602	34	3246	2677	2717	3881	4522	1367	1005	2572	95	3589	5864	993	1372	4716	4835	68	2078	20	563	7047	7482	4365	4901	4864	1698	1141	5180	384	28	83	6	3115	301	1683	133	31	2205	235	84	19	233	13	1562	32	904	1183	332	174	195	1618	478	11	1789	3354	3194	2512	107	302	34	4281	2568	380	26	2960	11	1027	60	609	242	43	11	18	58	505	343	343	372	3788	40	2647	10602	386	897	882	29	2828	2038	2536	2830	3866	1083	1298	2953	125	3313	5727	707	788	4953	4140	9	1245	22	535	6267	4923	4306	4332	4211	1409	917	4503	478	27	10	7	3377	295	1015	59	4	1796	277	9	11	205	10	1318	27	590	880	175	318	48	1243	794	9	1626	3096	2935	1996	25	143	11	4356	2233	131	20	2831	12	1033	20	560	333	22	8	1	36	431	75	228	355	2284	6	1615	9592	213	839	755	0
3689	0.458734352	2907	1138	1782	898	3015	291	2473	1569	251	1491	1323	1762	441	1577	2413	181	909	186	370	1504	964	419	292	7331	273	230	1091	1462	51	293	51	2475	606	72	23	370	1279	337	493	87	5	624	1266	852	381	773	610	355	543	415	82	55	1476	1654	2146	1924	419	119	259	1270	1078	299	202	1468	135	182	94	648	17	697	447	103	1277	3006	669	253	1712	1526	541	644	198	315	322	502	21	4665	1601	3261	1022	5234	173	4422	2574	47	2401	2490	3251	351	2631	4206	66	1501	6	595	2483	1844	43	367	11559	407	357	385	2156	15	73	3	4183	312	19	8	34	1195	32	22	6	8	510	1165	1143	1069	1411	559	32	1094	558	238	144	3147	2817	3768	3596	151	250	601	2453	1680	376	15	2218	23	76	24	96	14	812	72	0	2199	3794	434	60	2989	2497	39	934	9	284	7	675	4	4339	1541	2771	1115	4180	94	3878	1894	33	2210	2359	2233	358	2368	3583	7	1508	11	347	2250	1557	32	249	9219	438	283	204	2106	19	68	6	3727	224	10	8	5	1014	12	13	4	9	446	832	1237	694	1323	364	10	1208	507	157	30	2710	2989	2855	2892	2	139	497	2490	1420	361	15	2444	37	65	9	10	8	681	12	0	2142	2789	93	7	2342	1343	2	946	6	109	6	453	0
3437	0.52091585	2265	3107	3440	2523	2297	775	2360	2647	521	1527	1012	720	1112	1446	2759	232	2171	915	614	3094	3107	2614	828	7727	834	1111	1661	3715	426	148	154	1174	880	264	222	376	2914	421	2138	234	184	739	1553	396	986	1722	556	763	2165	930	241	253	1728	1393	1041	1122	593	495	163	9339	2576	723	557	820	132	1004	202	1924	243	549	749	83	522	658	496	1216	563	2823	996	621	373	901	389	1474	69	4128	5478	7422	3927	4089	1070	4576	4294	133	2772	1358	803	1284	2401	4851	145	4095	1214	1030	5230	5055	3565	1095	12272	1500	2033	1423	7019	902	17	47	2482	497	528	435	66	3731	47	3295	292	169	59	1268	82	1620	2548	88	610	3099	1663	527	514	3653	2609	1788	1973	150	547	241	17773	4849	1277	718	1256	12	1453	36	2278	448	559	475	23	149	735	211	2815	698	4162	833	1114	265	1593	139	2106	54	3670	4739	5675	3993	3952	774	3599	4182	11	2219	1122	598	777	2004	4017	72	3474	1262	781	5442	4864	3002	960	8997	1544	1791	868	5992	947	8	7	1795	186	457	322	4	3177	22	3070	356	269	92	932	20	1346	2058	47	474	1875	1342	386	466	2750	2206	1330	1847	17	265	198	14971	3703	783	574	1381	15	1215	19	1690	447	329	329	1	87	620	87	2757	702	2968	727	992	163	1242	19	1760	74
3205	0.646966354	634	517	1191	712	1028	168	1119	328	198	459	592	285	175	137	602	71	44	196	106	895	699	240	107	1394	181	137	369	235	26	87	377	149	298	17	1420	205	439	152	228	37	151	213	556	268	23	463	210	279	25	405	21	630	193	551	422	204	72	35	108	297	526	214	134	576	60	572	74	353	26	153	264	31	437	435	130	152	272	200	289	155	294	81	144	257	31	1535	1344	3492	1408	3096	185	2788	719	110	1393	1379	557	84	404	1596	5	4	520	14	2564	2181	187	4	3420	352	196	185	15	2	9	912	389	303	3	3173	28	498	18	25	6	325	24	359	592	38	1018	40	241	7	1050	4	1085	127	1372	1480	759	71	65	207	615	1833	336	213	1644	6	1035	9	51	120	72	41	0	639	1045	67	10	484	322	14	309	287	26	17	533	67	889	1534	3126	1020	3252	122	2493	438	23	1014	1227	586	4	216	1670	6	5	729	4	2141	1695	72	4	2390	492	123	84	8	2	2	709	369	261	3	2029	0	259	10	5	5	420	5	165	443	29	841	7	184	3	927	1	834	186	1262	1318	500	2	74	120	622	1343	334	173	1781	6	1543	1	6	87	20	13	0	555	763	66	6	356	276	2	242	56	0	3	445	48
2692	0.782121131	1173	1802	2097	2031	2111	827	5447	626	1224	5158	2205	1725	2065	1866	4086	194	2513	1275	1155	3182	1607	1606	1520	6452	684	719	2451	4764	71	1545	603	1910	734	93	22	416	4170	334	474	55	38	570	1609	400	218	853	713	467	704	1395	288	203	851	1666	709	1151	372	276	125	1357	1368	1082	510	3590	167	754	170	1175	254	771	733	55	6109	1263	551	321	1321	2838	1669	656	171	263	270	926	55	1478	2938	3592	3423	3879	1371	9748	819	1878	9346	3571	2662	3308	2915	6814	26	4457	1186	2014	4978	2909	2367	2519	9637	954	1382	2645	7946	14	1680	981	3536	434	26	11	29	6447	88	56	26	17	216	1387	292	511	996	445	21	1159	2986	698	405	1338	2714	1274	2269	95	524	158	1899	2243	1470	231	5316	56	861	24	1248	343	352	74	1	11533	1466	357	18	1918	3615	676	1354	12	142	54	1807	41	1239	2688	3223	2548	3600	1073	9621	961	1233	8792	3619	1958	3203	2773	6544	15	3874	731	1482	5311	2511	2430	2197	7701	1078	1317	1836	8067	4	1006	716	3498	246	22	9	9	5129	105	15	33	24	52	840	283	452	725	335	21	948	2483	491	444	854	2795	1310	1552	31	289	109	2593	1552	1115	102	6995	8	1186	19	1117	151	119	59	0	12396	1756	146	10	1097	2111	269	628	10	29	7	1386	10
3552	0.912675047	888	1513	1357	1015	857	242	765	992	795	257	2270	877	1116	645	1274	119	459	207	687	361	603	289	706	2158	421	495	619	2083	8	139	110	536	341	55	98	259	768	183	486	41	31	335	1618	173	245	457	610	309	529	974	38	181	1186	257	622	1199	143	330	52	579	823	173	327	615	77	137	132	391	431	166	329	30	321	299	314	194	301	534	431	315	80	205	164	1420	30	1498	2614	2506	2043	1730	173	1596	1724	848	387	4248	2117	2093	1191	2607	10	879	203	1035	327	996	35	1670	3484	814	945	318	4116	3	137	170	1145	259	13	159	106	961	36	547	13	10	95	2275	38	665	507	1105	109	730	1837	52	263	2450	331	1335	2055	61	472	58	717	1412	329	136	1047	6	33	14	49	717	127	179	1	206	246	237	4	472	816	72	583	21	61	53	2534	40	1438	2091	1943	1657	1175	286	1371	1313	184	456	3708	1892	1960	1251	2226	3	795	82	656	182	884	6	1464	2675	900	897	196	3677	1	73	45	1364	67	5	65	19	668	2	447	4	5	46	1311	126	682	441	888	52	421	1393	19	180	2241	295	1190	2130	7	234	22	547	968	322	149	849	6	9	3	15	458	15	113	0	95	131	71	5	376	483	69	626	2	13	93	1768	38
3290	0.929703242	1223	1724	2303	2672	1802	223	2121	1549	362	1811	1776	746	2408	1138	1521	1269	1188	1229	639	2065	1517	463	991	6197	694	3409	1946	11143	57	203	101	3923	566	56	42	423	1221	461	507	54	97	438	1214	288	259	1035	325	442	29	775	133	226	892	1235	908	1167	532	104	277	3131	1772	323	394	2808	176	314	186	596	102	700	2188	40	420	633	310	971	1164	1760	426	780	275	148	649	595	64	1678	2479	3390	4119	4158	125	4087	2602	219	3138	2700	1095	4290	2184	2346	2301	1853	1750	945	3245	2235	22	1796	9831	1333	7003	1927	18758	11	68	9	6305	332	21	40	58	1403	289	28	15	238	18	757	184	1114	986	71	103	31	1112	214	498	1149	2121	1708	2419	210	271	517	6474	2762	414	344	5265	53	277	32	110	213	988	3573	32	139	698	110	1140	2421	2366	66	932	47	33	930	888	2	2131	2250	3136	4772	3434	214	4355	2361	108	2518	2197	837	4218	1890	1944	2653	1601	2124	822	3248	2140	21	1694	8415	1179	5954	1138	21602	7	17	3	8347	257	17	13	12	1189	355	6	26	201	41	582	166	464	960	53	60	29	1063	354	349	698	1884	1201	2007	2	197	284	4714	2198	417	400	5645	20	399	19	28	136	1031	3605	1	144	523	48	1159	2247	1411	69	699	5	22	725	438	5
1463	0.936329646	1183	1216	1731	1014	1626	864	392	1065	2639	869	2488	318	2782	1299	1795	144	1238	620	656	1374	504	1012	1500	4152	788	614	1015	661	457	72	52	1028	712	1069	179	257	3490	335	420	42	21	427	1927	205	154	1357	1232	378	109	748	162	91	614	910	1650	622	315	395	73	2590	1082	740	438	393	93	396	1101	408	365	1086	356	46	2091	148	319	170	1112	2502	283	562	8193	430	180	432	53	2336	2638	2864	1863	3142	1472	659	1953	4574	1669	4010	604	4493	2303	3541	100	2351	606	1175	2224	1023	1438	2981	7387	2521	928	890	871	389	22	17	2102	618	1962	92	9	6997	123	142	14	76	199	3084	88	386	2498	1935	81	45	1269	288	165	931	1847	3546	1361	152	727	100	5321	2209	1305	489	622	11	807	2615	47	816	2089	136	0	3467	14	199	33	2434	4363	30	1180	21294	503	22	677	13	2464	2537	2486	1465	2588	1492	532	2138	3416	2037	3477	439	4685	2360	3471	14	1527	365	756	2509	1100	1005	3006	5855	1711	1003	642	749	332	35	76	1821	400	1602	65	3	6334	161	35	17	31	144	2394	37	338	1775	1200	84	47	1193	105	49	1080	1417	3092	1415	9	492	30	5191	1481	1268	409	716	7	684	2069	23	592	1607	43	0	3871	4	115	10	2569	3001	13	909	14024	401	4	567	8
