Abundance and Variation Measurements for Strains Grown in YEPD and SD
			Corrected Abundance Measurements					SD/YEPD Ratios			Log2 (SD/YEPD) Ratios			Changes in YEPD		Changes in SD			Reason Absent?							
ORF	Name		Ave. YEPD	Error	Ave. SD	Error		Ratio	Error		Log2	Error		Up 99% confidence	Up 2-fold	Up 99% confidence	Up 2-fold		YEPD	SD			Ave. CV YEPD	DM YEPD	Ave. CV SD	DM SD
YAL001C	TFC3																		Abundance Low	Failed QC/Abundance Low						
YAL002W	VPS8																		Abundance Low	Abundance Low						
YAL005C	SSA1		32395.0	1125.66	27461.5	1076.07		0.848	0.044		-0.238	0.076		1									25.1	13.097	21.07	9.467
YAL007C	ERP2		671.5	35.22	410.5	30.45		0.611	0.056		-0.710	0.131		1									18.03	2.057	16.905	2.516
YAL008W	FUN14																		Abundance Low	Abundance Low						
YAL009W	SPO7																		Abundance Low	Abundance Low						
YAL010C	MDM10																		Abundance Low	Abundance Low						
YAL011W	SWC3																		Abundance Low	Abundance Low						
YAL012W	CYS3		1838.0	72.58	1232.5	60.71		0.671	0.042		-0.577	0.091		1									13.225	-0.855	10.57	-2.378
YAL014C	SYN8																		Abundance Low	Abundance Low						
YAL015C	NTG1																		Abundance Low	Abundance Low						
YAL016W	TPD3		772.5	38.56	740.5	42.39		0.959	0.073		-0.061	0.110											13.135	-2.478	11.895	-1.599
YAL017W	PSK1				52.5	22.51													Abundance Low							
YAL019W	FUN30		86.5	21.90	62.0	22.69		0.717	0.319		-0.480	0.642											24.555	0.022		
YAL021C	CCR4		312.0	26.20																Failed QC			16.6	-1.433		
YAL023C	PMT2		68.5	21.48	58.9	21.92		0.860	0.419		-0.217	0.702											24.06	-2.750	17.67	-0.269
YAL024C	LTE1																		Abundance Low	Abundance Low						
YAL026C	DRS2		214.5	24.13	113.3	23.10		0.528	0.123		-0.921	0.336		1									19.07	-0.442	17.115	0.280
YAL027W																			Abundance Low	Abundance Low						
YAL029C	MYO4		112.0	22.31	118.0	24.38		1.054	0.302		0.075	0.414											22.285	-0.480	17.425	0.568
YAL031C	FUN21				58.5	22.57													Abundance Low							
YAL032C	PRP45		47.0	21.36																Abundance Low						
YAL033W	POP5		295.5	25.88	302.8	27.46		1.025	0.129		0.035	0.182											19.04	0.810	13.445	-1.116
YAL034W-A	MTW1		90.0	21.97																Abundance Low						
YAL035W	FUN12		2539.0	96.09	1874.0	84.64		0.738	0.043		-0.438	0.085		1									12.715	-0.930	11.475	-1.162
YAL036C	RBG1		823.5	40.07	414.5	32.22		0.503	0.046		-0.990	0.132		1									14.055	-1.331	14.385	0.208
YAL038W	CDC19		11386.5	399.88	9188.0	365.89		0.807	0.043		-0.310	0.077		1									16.27	3.835		
YAL039C	CYC3		49.5	21.23																Abundance Low						
YAL041W	CDC24		114.5	22.34	131.0	24.09		1.144	0.307		0.194	0.387											20.91	-1.728	16.17	-0.157
YAL043C	PTA1		99.0	22.10	84.0	23.06		0.848	0.300		-0.237	0.511											19.975	-3.115	21.115	2.533
YAL044C	GCV3		495.5	30.74	2739.6	115.97		5.529	0.415		2.467	0.108				1	1						27.82	11.025	13.225	0.879
YAL047C	SPC72																		Abundance Low	Failed QC/Abundance Low						
YAL049C																			Abundance Low	Abundance Low						
YAL053W					62.3	21.95													Abundance Low						16.93	-0.877
YAL054C	ACS1																		Abundance Low	Abundance Low						
YAL055W	PEX22																		Abundance Low	Abundance Low						
YAL056W	GPB2																		Abundance Low	Abundance Low						
YAL058W	CNE1																		Abundance Low	Abundance Low						
YAL059W	ECM1		200.5	23.62	81.0	22.31		0.404	0.121		-1.308	0.432		1	1								21.72	1.698		
YAL060W	BDH1		536.5	31.85	1372.0	65.85		2.557	0.195		1.355	0.110				1	1						26.25	9.758	19.145	6.286
YAL061W			47.5	21.37	129.0	24.31		2.716	1.325		1.441	0.704													24.335	7.567
YAR002C-A	ERP1		1049.0	46.58	538.5	34.41		0.513	0.040		-0.962	0.112		1									12.49	-2.550	13.195	-0.756
YAR002W	NUP60		174.0	23.13	140.5	23.45		0.807	0.172		-0.309	0.308											21.305	0.608	17.43	-0.288
YAR003W	SWD1																		Abundance Low	Abundance Low						
YAR007C	RFA1				375.5	30.33													Failed QC							
YAR009C			57.5	21.50																Abundance Low						
YAR014C	BUD14		185.0	23.56	146.0	24.41		0.789	0.166		-0.342	0.303											20.895	0.444	16.965	0.488
