"Q0010","","387"
"Q0017","","162"
"Q0032","","291"
"Q0045","COX1","12884"
"Q0050","AI1","2505"
"Q0055","AI2","5013"
"Q0060","AI3","6179"
"Q0065","AI4","8118"
"Q0070","AI5_ALPHA","9350"
"Q0075","AI5_BETA","1100"
"Q0080","ATP8","147"
"Q0085","ATP6","780"
"Q0092","","141"
"Q0105","COB","7108"
"Q0110","BI2","2040"
"Q0115","BI3","3726"
"Q0120","BI4","5712"
"Q0130","OLI1","231"
"Q0140","VAR1","1197"
"Q0142","","177"
"Q0143","","153"
"Q0144","","330"
"Q0160","SCEI","708"
"Q0182","","405"
"Q0250","COX2","756"
"Q0255","","1490"
"Q0275","COX3","810"
"Q0297","","156"
"R0010W","FLP1","1272"
"R0020C","REP1","1122"
"R0030W","RAF1","546"
"R0040C","REP2","891"
"YAL001C","TFC3","3573"
"YAL002W","VPS8","3825"
"YAL003W","EFB1","987"
"YAL004W","","648"
"YAL005C","SSA1","1929"
"YAL007C","ERP2","648"
"YAL008W","FUN14","597"
"YAL009W","SPO7","780"
"YAL010C","MDM10","1482"
"YAL011W","SWC3","1878"
"YAL012W","CYS3","1185"
"YAL013W","DEP1","1218"
"YAL014C","SYN8","768"
"YAL015C","NTG1","1200"
"YAL016C-A","","315"
"YAL016C-B","","186"
"YAL016W","TPD3","1908"
"YAL017W","PSK1","4071"
"YAL018C","LDS1","978"
"YAL019W","FUN30","3396"
"YAL019W-A","","570"
"YAL020C","ATS1","1002"
"YAL021C","CCR4","2514"
"YAL022C","FUN26","1554"
"YAL023C","PMT2","2280"
"YAL024C","LTE1","4308"
"YAL025C","MAK16","921"
"YAL026C","DRS2","4068"
"YAL026C-A","","438"
"YAL027W","SAW1","786"
"YAL028W","FRT2","1587"
"YAL029C","MYO4","4416"
"YAL030W","SNC1","467"
"YAL031C","GIP4","2283"
"YAL031W-A","","309"
"YAL032C","PRP45","1140"
"YAL033W","POP5","522"
"YAL034C","FUN19","1242"
"YAL034C-B","","354"
"YAL034W-A","MTW1","870"
"YAL035W","FUN12","3009"
"YAL036C","RBG1","1110"
"YAL037C-A","","93"
"YAL037C-B","","975"
"YAL037W","","804"
"YAL038W","CDC19","1503"
"YAL039C","CYC3","810"
"YAL040C","CLN3","1743"
"YAL041W","CDC24","2565"
"YAL042C-A","","378"
"YAL042W","ERV46","1248"
"YAL043C","PTA1","2358"
"YAL044C","GCV3","513"
"YAL044W-A","BOL1","333"
"YAL045C","","309"
"YAL046C","BOL3","357"
"YAL047C","SPC72","1869"
"YAL047W-A","","330"
"YAL048C","GEM1","1989"
"YAL049C","AIM2","741"
"YAL051W","OAF1","3144"
"YAL053W","FLC2","2352"
"YAL054C","ACS1","2142"
"YAL055W","PEX22","543"
"YAL056C-A","","351"
"YAL056W","GPB2","2643"
"YAL058W","CNE1","1509"
"YAL059C-A","","423"
"YAL059W","ECM1","639"
"YAL060W","BDH1","1149"
"YAL061W","BDH2","1254"
"YAL062W","GDH3","1374"
"YAL063C","FLO9","3969"
"YAL063C-A","","291"
"YAL064C-A","TDA8","381"
"YAL064W","","285"
"YAL064W-B","","381"
"YAL065C","","387"
"YAL066W","","309"
"YAL067C","SEO1","1782"
"YAL067W-A","","228"
"YAL068C","PAU8","363"
"YAL068W-A","","255"
"YAL069W","","315"
"YAR002C-A","ERP1","660"
"YAR002W","NUP60","1620"
"YAR003W","SWD1","1281"
"YAR007C","RFA1","1866"
"YAR008W","SEN34","828"
"YAR014C","BUD14","2130"
"YAR015W","ADE1","921"
"YAR018C","KIN3","1308"
"YAR019C","CDC15","2925"
"YAR019W-A","","333"
"YAR020C","PAU7","168"
"YAR023C","","540"
"YAR027W","UIP3","708"
"YAR028W","","705"
"YAR029W","","225"
"YAR030C","","342"
"YAR031W","PRM9","897"
"YAR033W","MST28","705"
"YAR035C-A","","81"
